botanical_name,common_name,family_botanical_name,native,EOL_ID,EOL_overview_URL,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL,shade_production,form,type,Cal_IPC_rating,CAL_IPC_url,Irrigation_Requirements
Ulmus parvifolia 'Drake',DRAKE ELM,Ulmaceae,exotic,,http://eol.org/pages/595062/overview,not listed,not listed,,filtered,rounded,"evergreen, semi-deciduous",,,moderate
Ulmus propinqua 'Emerald Sunshine',Emerald Sunshine Elm,,exotic,,,not listed,not listed,,"filtered, dense",vase,,,,
Ulmus pumila,SIBERIAN ELM,Ulmaceae,exotic,594950,http://www.eol.org/pages/594950/overview,Least Concern,Least Concern,http://dx.doi.org/10.2305/IUCN.UK.2018-1.RLTS.T61967372A61967374.en,filtered,"spreading, rounded",deciduous,,,moderate
Umbellularia californica,California Bay,Lauraceae,native,596841,http://eol.org/pages/596841/overview,not listed,not listed,,filtered,rounded,evergreen,,,"none, once established"
Unidentified spp.,Unidentified Tree,,,,,not listed,not listed,,,,,,,
Unsuitable site,UNSUITABLE SITE,,,,,not listed,not listed,,,,,,,
Vacant site,VACANT SITE,,,,,not listed,not listed,,,,,,,
Viburnum spp.,Viburnum,Adoxaceae,exotic,37657,http://eol.org/pages/37657/overview,not listed,not listed,,dense,,,,,moderate
Washingtonia filifera,CALIFORNIA FAN PALM,Arecaceae,native,1127834,http://www.eol.org/pages/1127834/overview,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38725A10145920.en,little,,,,,"none, once established"
Washingtonia filifera X robusta,Filibuster Hybrid Fan Palm,Arecaceae,exotic,,,not listed,not listed,,"little, none",palm,evergreen,,,
Washingtonia robusta,MEXICAN FAN PALM,Arecaceae,exotic,1127833,http://eol.org/pages/1127833/overview,Lower Risk/near threatened,Lower Risk/near threatened,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38725A10145920.en,little,,,moderate,https://www.cal-ipc.org/plants/paf/washingtonia-robusta-plant-assessment-form/,"none, once established"
Wisteria sinensis,CHINESE WISTERIA,Fabaceae,exotic,704193,http://eol.org/pages/704193/overview,not listed,not listed,,filtered,vine,,,,
Wodyetia bifurcata,FOXTAIL PALM,Arecaceae,exotic,1127809,http://eol.org/pages/1127809/overview,Lower Risk/conservation dependent,Lower Risk/conservation dependent,http://dx.doi.org/10.2305/IUCN.UK.1998.RLTS.T38733A10146773.en,"little, none",palm,evergreen,,,moderate
Yucca elephantipes,Giant Yucca,Asparagaceae,exotic,1083612,https://eol.org/pages/1083612/overview,not listed,not listed,,filtered,palm,evergreen,,,"none, once established"
Yucca gloriosa,SPANISH DAGGER,Asparagaceae,exotic,1083624,http://www.eol.org/pages/1083624/overview,not listed,not listed,,little/none,palm,evergreen,,,"none, once established"
Yucca spp.,Yucca Species,Asparagaceae,exotic,23768875,https://eol.org/pages/23768875,not listed,not listed,,"little, none",palm,evergreen,,,"none, once established"
Zelkova serrata,Sawtooth Zelkova,Ulmaceae,exotic,484119,http://eol.org/pages/484119/overview,not listed,not listed,,filtered,"spreading, vase",deciduous,,,
