botanical_name,shade_production,form,type
Pinus pinea,dense,"rounded, spreading",evergreen
Pinus radiata,filtered,"conical, spreading",evergreen
Pinus roxburghii,dense,conical,
Pinus thunbergiana,dense,"conical, spreading",evergreen
Pinus torreyana,filtered/dense,"conical, vase",evergreen
Pistacia chinensis,filtered,rounded,deciduous
Pittosporum crassifolium,dense,rounded,evergreen
Pittosporum phillyraeoides,filtered,"weeping, rounded",evergreen
Pittosporum tobira,dense,rounded,evergreen
Pittosporum undulatum,dense,rounded,evergreen
Pittosporum viridiflorum,dense,rounded,evergreen
Platanus acerifolia,dense,"rounded, spreading",evergreen
Platanus hybrida,dense,"vase, spreading",
Platanus mexicana,dense,"vase, spreading",
Platanus racemosa,filtered,spreading,evergreen
Platanus spp.,dense,"vase, spreading",
Platanus X hispanica,dense,"vase, spreading",
Platanus X hispanica 'Bloodgood',filtered,rounded,deciduous
Platanus X hispanica 'Columbia',dense,"rounded, spreading",deciduous
Platanus X hispanica 'Yarwood',filtered,rounded,deciduous
Platycladus orientalis,dense,rounded,evergreen
Prunus armeniaca,filtered,"Rounded, Spreading, Vase",deciduous
Prunus blireiana,filtered,,
Prunus caroliniana,dense,rounded,evergreen
Prunus cerasifera,dense,"rounded, vase",deciduous
Prunus cerasifera 'Atropurpurea',dense,"rounded, vase",deciduous
Prunus cerasifera 'Krater Vesuvius',dense,rounded,deciduous
Prunus domestica,filtered,"rounded, spreading",deciduous
Prunus ilicifolia,dense,spreading,evergreen
Prunus ilicifolia ssp. Lyonii,dense,"spreading, vase",evergreen
Prunus lusitanica,dense,spreading,evergreen
Prunus persica,filtered,rounded,deciduous
Prunus spp.,filtered,,
Psidium guajava,filtered,"rounded, vase","evergreen, semi-deciduous"
Pyrus calleryana,dense,rounded,deciduous
Pyrus kawakamii,filtered,"pendulous, spreading","evergreen, semi-deciduous"
Quercus agrifolia,dense,"rounded, spreading",evergreen
Quercus engelmannii,dense,vase,
Quercus ilex,dense,"rounded, spreading",evergreen
Quercus suber,dense,"Pendulous, Rounded, Spreading, Vase",evergreen
Quercus tomentella,dense,vase,
Quillaja saponaria,dense,rounded,evergreen
Radermachera sinica,,,evergreen
Ravenea rivularis,"little, none",palm,evergreen
Rhus lancea,dense,"pendulous, rounded",evergreen
Robinia ambigua 'Idahoensis',filtered,vase,deciduous
Robinia pseudoacacia,filtered,spreading,deciduous
Roystonea regia,"little, none",palm,evergreen
Salix babylonica,"filtered, dense",weeping,deciduous
Schefflera actinophylla,"filtered, dense",,
Schinus molle,filtered,"Pendulous, Rounded, Spreading",evergreen
Schinus terebinthifolius,dense,rounded,evergreen
Sequoia sempervirens,dense,conical,evergreen
Stenocarpus sinuatus,filtered,,
Strelitzia nicolai,"little, none",palm,evergreen
Styphnolobium japonicum,"filtered, dense",,
Syagrus romanzoffianum,"little, none",palm,evergreen
Syzygium paniculatum,dense,rounded,evergreen
Syzygium spp.,dense,,
Taxodium distichum,"filtered, dense",,
Taxodium huegelii,"filtered, dense",,
Tecoma stans,filtered,,
Thevetia peruviana,filtered,,
Thuja occidentalis,little,"conical, rounded",evergreen
Tilia americana,filtered,"conical, rounded",deciduous
Tipuana tipu,filtered,,
Trachycarpus fortunei,little/none,palm,evergreen
Tristaniopsis laurina,dense,"rounded, vase",evergreen
Ulmus parvifolia,filtered,"pendulous, spreading","evergreen, semi-deciduous"
Ulmus parvifolia 'Allee',filtered,rounded,"evergreen, semi-deciduous"
Ulmus parvifolia 'Drake',filtered,rounded,"evergreen, semi-deciduous"
Ulmus propinqua 'Emerald Sunshine',"filtered, dense",vase,
Ulmus pumila,filtered,"spreading, rounded",deciduous
Umbellularia californica,filtered,rounded,evergreen
Viburnum spp.,dense,,
Washingtonia filifera,little,,
Washingtonia filifera X robusta,"little, none",palm,evergreen
Washingtonia robusta,little,,
Wisteria sinensis,filtered,vine,
Wodyetia bifurcata,"little, none",palm,evergreen
Yucca gloriosa,little/none,palm,evergreen
Yucca spp.,"little, none",palm,evergreen
Zelkova serrata,filtered,"spreading, vase",deciduous
No Replant,,,
Other tree,,,
Stump,,,
Stump - not accessible,,,
Unidentified spp.,,,
Unsuitable site,,,
Vacant site,,,
