species_id,original_url,author,author_url
229,https://content.eol.org/data/media/85/02/0a/7.CalPhotos_0000_0000_0116_0857.jpg,2016 Zoya Akulova,https://eol.org/pages/2508582/media
229,https://content.eol.org/data/media/85/02/0b/7.CalPhotos_0000_0000_0116_0858.jpg,2016 Zoya Akulova,https://eol.org/pages/2508582/media
230,https://content.eol.org/data/media/a1/8f/ae/913.73643.jpg,JC Schou,https://eol.org/pages/1327063/media
230,https://content.eol.org/data/media/d7/01/7c/542.63f893b0b3a2fedbb99635052e977faa.jpg,Arthur Chapman,https://eol.org/pages/1327063/media
230,https://content.eol.org/data/media/d7/22/5d/542.6c30fe6f88ddb12274de45af4bfaf340.jpg,Biodiversity Heritage Library,https://eol.org/pages/1327063/media
231,https://content.eol.org/data/media/85/0c/29/7.CalPhotos_0000_0000_0117_1620.jpg,2017 Zoya Akulova,https://eol.org/pages/581918/media
231,https://content.eol.org/data/media/85/0c/2a/7.CalPhotos_0000_0000_0117_1621.jpg,2017 Zoya Akulova,https://eol.org/pages/581918/media
231,https://content.eol.org/data/media/85/10/b2/7.CalPhotos_0000_0000_0117_4710.jpg,2017 Zoya Akulova,https://eol.org/pages/581918/media
232,https://content.eol.org/data/media/d7/0d/98/542.670b3b05afd52e67ac08552dd9a6cdaf.jpg,Bernard DUPONT,https://eol.org/pages/5448620/media
232,https://content.eol.org/data/media/d8/f5/a3/542.dff1fc567f4b3f3edf7c219bbda27db8.jpg,Bernard DUPONT,https://eol.org/pages/5448620/media
232,https://content.eol.org/data/media/85/04/38/7.CalPhotos_0000_0000_0116_2091.jpg,2016 Zoya Akulova,https://eol.org/pages/5448620/media
233,https://content.eol.org/data/media/d5/82/bf/542.052912dea41a35eee430289df0e29213.jpg,Kurt Andreas,https://eol.org/pages/594885/media
233,https://content.eol.org/data/media/d6/48/1d/542.36201f2fc28808f2783658aad55a6c77.jpg,Ahmad Fuad Morad,https://eol.org/pages/594885/media
233,https://content.eol.org/data/media/db/0c/ea/542.647390744a950f03e1fcb06b6861777c.jpg,Mary Keim,https://eol.org/pages/594885/media
234,https://content.eol.org/data/media/9d/cf/38/851.120120-1_jpg.jpg,"Mark Hyde, Bart Wursten and Petra Ballings",https://eol.org/pages/72690/media
234,https://content.eol.org/data/media/a1/6f/42/913.55635.jpg,JC Schou,https://eol.org/pages/72690/media
234,https://content.eol.org/data/media/c4/c7/d6/607.http___bioimages_vanderbilt_edu_baskauf_10232.jpg,Steven J. Baskauf,https://eol.org/pages/72690/media
235,https://content.eol.org/data/media/99/25/db/84.CalPhotos_4444_4444_0510_1034.jpg,2010 Moorea Biocode,https://eol.org/pages/44527/media
